system:index,B2,B3,B4,B8,NDMI,NDVI,NDWI,aspect,elevation,label,slope,.geo
1_00000000000000000e97_0,651.375,910.0,1001.2,1996.6666666666667,0.007738896,0.33205834,-0.3738532,286.4175,590,1,12.903676,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.14317602836817,27.87800211701579]}"
1_00000000000000000ab6_0,692.0,966.0,1185.5,2475.5,-0.031778626,0.35236275,-0.43861687,302.19467,1524,1,16.900137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.34314101061318,28.182800492917544]}"
1_00000000000000001f23_0,847.0166666666667,987.25,1074.5714285714287,1639.5,-0.07176221,0.20814802,-0.24831066,-0.0,1302,1,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.31834750877148,27.70310013119772]}"
1_000000000000000020bb_0,336.0,531.8333333333334,526.3333333333334,2022.5,-0.033799116,0.5870006,-0.5835835,33.666943,1080,1,18.296509,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.89820545038877,27.97825410272353]}"
1_000000000000000020f6_0,519.3333333333334,786.2727272727273,690.0,2596.375,0.121897645,0.58008444,-0.53511405,275.60873,556,1,9.404539,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.14910490924336,27.89093785710711]}"
1_000000000000000027db_0,1221.0,1745.1666666666665,2260.5,3699.3333333333335,-0.13111559,0.24142174,-0.3589249,92.11045,1579,1,23.729097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.21135815843284,27.81952179201961]}"
1_00000000000000000134_0,987.6,1168.375,1517.6,1949.0,-0.14859848,0.1244447,-0.250411,102.47706,1342,1,4.2849665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.33047476510708,27.736517459766965]}"
1_00000000000000000e78_0,683.0,905.1666666666666,774.1666666666666,466.25,0.16283903,-0.24823648,0.3200462,29.484064,230,1,2.1299746,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.54705400582645,27.83191854294046]}"
1_00000000000000000c91_0,495.0,754.0,955.0,2384.0,0.005059022,0.42797244,-0.51943916,116.083145,1589,1,20.212486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71602711076933,28.218104283583443]}"
1_00000000000000001596_0,698.5,938.5,817.0,2971.6666666666665,0.22547768,0.5687137,-0.5199693,-0.0,409,1,41.157993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.84242007124496,27.800926665638336]}"
1_0000000000000000198a_0,511.7375,768.1736111111111,549.125,2761.2,0.3147498,0.668235,-0.5646969,344.7294,599,1,25.948795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.12862332076543,27.856981539367393]}"
1_00000000000000000721_0,688.6,944.0,1081.6666666666665,2537.6666666666665,-0.0067192903,0.40228403,-0.45773098,350.37537,438,1,18.17902,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.9006309016559,27.804969084416875]}"
1_00000000000000001dca_0,880.125,1039.0,1099.9166666666667,2056.8,-0.024770884,0.30312613,-0.32876801,53.210514,310,1,16.558924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.53869967368414,27.89875320007895]}"
1_00000000000000000666_0,225.1818181818182,404.4166666666667,292.7894736842105,1837.7142857142858,0.30683565,0.72514534,-0.6392569,250.02032,1398,1,44.85344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.63329227310193,27.999544174957162]}"
1_00000000000000000eb0_0,580.5,861.0,1011.0,3007.0,-0.058399875,0.49676457,-0.5548087,348.8501,1612,1,20.780832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.01004570326165,28.06988226170372]}"
1_00000000000000001daf_0,591.25,894.6388888888889,1076.6666666666667,2513.5,-0.018212002,0.40021354,-0.47499856,219.0787,560,1,33.715004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.60742079291929,27.737056448937437]}"
1_00000000000000001181_0,703.0,825.0,941.0,1191.5,-0.087647334,0.11746776,-0.18175055,148.10889,4967,1,38.686275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.00573378989787,28.346653200740946]}"
1_00000000000000001fa0_0,622.5,862.0,971.75,1746.5,-0.15300679,0.28501794,-0.33908376,342.12576,1791,1,6.789741,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.08119227376392,27.63141457152498]}"
1_000000000000000001c4_0,736.0,1035.0,1401.5,2772.0,-0.085073024,0.32838145,-0.45626476,29.561588,2138,1,12.588966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.08523469254246,28.17202070950811]}"
1_00000000000000000e79_0,303.61538461538464,528.5,402.0,2546.0,0.3041548,0.72727275,-0.6562043,283.5671,731,1,22.4914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.85454732758056,27.769126304580503]}"
1_0000000000000000209c_0,492.0,708.0,763.0,2230.25,0.034858767,0.49018624,-0.5180805,200.68309,1383,1,17.299387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.1329352341292,28.00223912080952]}"
1_00000000000000002803_0,355.53333333333336,481.92857142857144,672.0769230769231,1818.2608695652175,0.008577653,0.4602524,-0.5809662,173.36781,2709,1,32.43907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.05478180441081,28.103838579443437]}"
1_00000000000000000587_0,501.5,686.0,668.0,1992.0,0.19783524,0.49774435,-0.48767737,292.92535,1291,1,24.566427,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.16392711143133,27.831379553769988]}"
1_0000000000000000060a_0,495.0,732.8,783.0,2470.625,0.049292598,0.5186907,-0.5424897,71.036095,700,1,19.223114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.1900680861992,27.920043272312583]}"
1_00000000000000001fc7_0,207.0,385.0,398.0,2693.0,0.1850385,0.7424782,-0.7498376,235.62631,1976,1,31.052494,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.89955292331496,28.420225222510332]}"
1_00000000000000002284_0,250.0,557.0,352.0,3328.0,0.27950788,0.8086957,-0.7132561,34.908062,1658,1,14.392297,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.82732837447175,28.131327027137495]}"
1_0000000000000000007d_0,207.0,385.0,398.0,2693.0,0.1850385,0.7424782,-0.7498376,235.62631,1976,1,31.052494,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.89955292331496,28.420225222510332]}"
1_0000000000000000067c_0,1228.5,1491.75,1553.111111111111,2272.45,0.0041869665,0.18803488,-0.2074013,25.40495,285,1,41.86151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.54220310329221,27.83191854294046]}"
1_00000000000000000ce4_0,267.5,574.5,398.0,3187.5,0.39634213,0.7779947,-0.69457734,310.02466,1931,1,26.721403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.31646104667482,28.136716918842215]}"
1_0000000000000000216a_0,300.0,487.0,524.0,2261.0,0.09917355,0.6236984,-0.6455604,301.07632,1787,1,39.193077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.36793451245487,28.256911503857406]}"
1_0000000000000000296e_0,489.0,791.0,866.0,2726.0,0.021547686,0.5178174,-0.55018485,311.91678,1685,1,52.61157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.35742422363067,28.218373778168676]}"
1_00000000000000001ea7_0,1117.0,1437.6,1377.0,2110.666666666667,0.20643994,0.21036032,-0.18968886,320.1104,270,1,44.14194,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.55109642460499,27.83245753211093]}"
1_00000000000000001f04_0,276.0,490.0,380.0,2839.0,0.31496063,0.7639018,-0.7056173,313.24533,797,1,20.70861,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.69797097355854,28.143723778058344]}"
1_00000000000000000e80_0,305.5,486.8333333333333,345.25,3126.5,0.29043767,0.80110896,-0.73053503,106.034645,1428,1,37.30248,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.20165635336434,27.833535510451874]}"
1_00000000000000001d4f_0,290.0,503.0,478.0,2820.0,0.21290323,0.71012735,-0.6972615,286.99203,944,1,26.497635,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.95991971040779,28.020025763435086]}"
1_000000000000000020d1_0,361.5,491.6666666666667,412.16666666666663,1739.6666666666667,0.26146594,0.6169158,-0.55930686,355.02603,1063,1,40.196003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.21189714760331,27.88851240583999]}"
1_000000000000000020d5_0,612.75,867.4,838.25,2673.5,0.08985291,0.5226027,-0.51006806,228.4741,1347,1,2.7958157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.44339299632091,27.683157531890267]}"
1_000000000000000022de_0,663.0,985.7142857142857,1190.4166666666665,2666.6666666666665,0.011314076,0.3827374,-0.46023467,169.32378,1361,1,11.181789,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.91410563091769,27.86291042024258]}"
1_000000000000000025c5_0,414.85714285714283,713.1944444444445,532.25,3201.875,0.29279536,0.71492654,-0.635667,314.86288,794,1,22.443716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70012693024042,27.79230283891079]}"
1_000000000000000026d4_0,1091.6666666666667,1371.3333333333333,1625.0,2455.6666666666665,-0.06421086,0.20356151,-0.28333768,246.13615,1475,1,13.499901,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.37170743664818,27.776941647552345]}"
1_00000000000000001636_0,254.16931216931215,411.625,361.1666666666667,1523.6666666666667,0.16525397,0.6167654,-0.5746119,358.78027,743,1,40.634422,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.86020671387053,27.60419561841616]}"
1_0000000000000000165f_0,399.0,603.0,757.0,1800.0,-0.030433612,0.4078999,-0.49812734,235.05894,1124,1,28.236557,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.94994841075406,28.049939662396266]}"
